detected_at,tournament,fixture_id,start_time,home_team,away_team,side,soft_odds,pinnacle_fair_prob,ev,status,actual_result,profit
2026-08-16T22:16:19.427911+00:00,Brasileiro Serie A,id1000032566886930,2026-08-17T23:00:00.000Z,,,away,6.25,0.1686,0.0536,resuelto,draw (1-1),-1.0
2026-08-16T22:16:19.428232+00:00,Brasileiro Serie A,id1000032566886944,2026-08-23T19:00:00.000Z,,,away,6.25,0.1899,0.187,resuelto,home (4-1),-1.0
2026-08-17T09:36:49.757730+00:00,Brasileiro Serie A,id1000032566886940,2026-08-24T23:00:00.000Z,,,draw,3.3,0.319,0.0526,resuelto,away (2-3),-1.0
2026-08-21T09:32:31.301007+00:00,Eliteserien (Noruega),id1000002067015350,2026-08-29T16:00:00.000Z,,,away,11.0,0.1096,0.2052,resuelto,home (2-1),-1.0
2026-08-21T09:32:31.301266+00:00,Eliteserien (Noruega),id1000002067015346,2026-08-30T15:00:00.000Z,,,home,2.5,0.4277,0.0693,resuelto,home (4-1),1.5
2026-08-23T09:23:17.322669+00:00,Eliteserien (Noruega),id1000002067015342,2026-08-30T17:15:00.000Z,,,draw,4.1,0.2561,0.0501,resuelto,away (1-4),-1.0
2026-08-23T15:28:52.439734+00:00,MLS (USA),id1000024266299442,2026-08-30T00:30:00.000Z,,,draw,4.333,0.2498,0.0826,resuelto,draw (0-0),3.333
2026-08-23T15:28:52.439985+00:00,England Premier League,id1000001772221212,2026-08-31T19:00:00.000Z,,,away,1.76,0.6206,0.0923,pending,,
2026-08-23T21:22:44.792407+00:00,Brasileiro Serie A,id1000032566886968,2026-08-29T21:30:00.000Z,,,away,5.5,0.2002,0.1009,resuelto,home (2-1),-1.0
2026-08-23T21:22:44.792587+00:00,MLS (USA),id1000024266299436,2026-08-29T23:30:00.000Z,,,away,6.5,0.1632,0.0606,resuelto,home (7-1),-1.0
2026-08-24T09:42:20.946041+00:00,England Premier League,id1000001772221244,2026-09-04T19:00:00.000Z,,,home,5.25,0.2037,0.0695,pending,,
2026-08-24T09:42:20.946313+00:00,England Premier League,id1000001772221242,2026-09-05T16:30:00.000Z,,,home,4.75,0.2254,0.0708,pending,,
2026-08-25T09:31:25.141097+00:00,England Premier League,id1000001772221212,2026-08-31T19:00:00.000Z,,,home,7.5,0.1509,0.1319,pending,,
2026-08-28T00:20:24.809738+00:00,MLS (USA),id1000024266299458,2026-08-30T23:00:00.000Z,,,away,3.8,0.2805,0.0657,resuelto,draw (3-3),-1.0
2026-08-28T05:08:42.444418+00:00,MLS (USA),id1000024266299452,2026-08-30T02:30:00.000Z,,,away,5.5,0.1922,0.0571,resuelto,away (1-2),4.5
2026-08-28T05:08:42.444667+00:00,Allsvenskan (Suecia),id1000004067126730,2026-08-30T14:30:00.000Z,,,away,5.75,0.1873,0.077,resuelto,home (1-0),-1.0
2026-08-28T05:08:42.444900+00:00,Allsvenskan (Suecia),id1000004067126732,2026-08-31T17:00:00.000Z,,,away,5.5,0.1912,0.0517,pending,,
2026-08-28T05:08:42.445053+00:00,Allsvenskan (Suecia),id1000004067126738,2026-08-31T17:00:00.000Z,,,away,4.0,0.267,0.0681,pending,,
2026-08-29T18:18:17.417763+00:00,MLS (USA),id1000024266299448,2026-08-30T00:30:00.000Z,,,away,4.2,0.2512,0.0552,resuelto,home (4-0),-1.0
2026-08-30T14:15:01.197289+00:00,MLS (USA),id1000024266299464,2026-09-05T23:30:00.000Z,FC Cincinnati,DC United,away,6.0,0.1936,0.1618,pending,,
2026-08-30T14:15:01.197537+00:00,MLS (USA),id1000024266299468,2026-09-05T23:30:00.000Z,Inter Miami CF,Atlanta United FC,away,6.5,0.1642,0.0674,pending,,
2026-08-30T14:15:01.197822+00:00,Brasileiro Serie A,id1000032566886978,2026-09-06T00:00:00.000Z,Fluminense FC RJ,CR Vasco da Gama RJ,away,4.75,0.2298,0.0913,pending,,
2026-08-30T14:15:01.198058+00:00,MLS (USA),id1000024266299486,2026-09-06T02:30:00.000Z,Portland Timbers,Minnesota United FC,away,3.5,0.3073,0.0755,pending,,
2026-08-30T18:32:34.311327+00:00,England Premier League,id1000001772221234,2026-09-05T14:00:00.000Z,Brentford FC,Sunderland AFC,away,4.75,0.4054,0.9255,pending,,
2026-08-30T23:16:44.981459+00:00,MLS (USA),id1000024266299478,2026-09-06T00:30:00.000Z,FC Dallas,Sporting Kansas City,away,6.5,0.1778,0.1558,pending,,
2026-08-30T23:16:44.981846+00:00,England Premier League,id1000001772221252,2026-09-12T14:00:00.000Z,Aston Villa,Nottingham Forest,away,4.333,0.2543,0.1019,pending,,
2026-08-30T23:16:44.982109+00:00,England Premier League,id1000001772221260,2026-09-12T14:00:00.000Z,Crystal Palace,Ipswich Town,away,4.5,0.2433,0.095,pending,,
